,Date,BC_Zone,Elev,Asp,Type,Trigger,Rsize,Dsize,Avg_Slope_Angle,Start_Zone_Elev,Start_Zone_Elev_units,Sliding_Sfc,Weak_Layer,Weak_Layer_Type,Avg_Width,Max_Width,Width_units,av_bol
210,2021/04/06,Aspen,>TL,W,WS,N,R3,D3,,,,,,,,,,1
215,2021/04/06,Aspen,TL,NW,WS,N,R3,D2.5,,,,,,,,,,1
224,2021/04/05,Aspen,>TL,E,WS,N,R3,D2,,,,,,,,,,1
253,2021/04/04,Southern San Juan,TL,E,WS,N,R3,D3,,11000.0,ft,G,,Faceted Crystals,,,,1
267,2021/04/04,Northern San Juan,>TL,NW,WS,N,R3,D3,,,,G,Layer,Melt Form,,,,1
320,2021/04/04,Northern San Juan,>TL,NW,WS,N,R3,D2,,,,,,,,,,1
335,2021/04/03,Gunnison,TL,SE,WS,N,R3,D2,,,,,,,,,,1
344,2021/04/03,Gunnison,<TL,W,WL,,R3,D1,,,,,,,,,,1
363,2021/04/03,Aspen,>TL,E,WS,N,R3,D2.5,,,,,,,,,,1
398,2021/04/03,Front Range,>TL,SE,HS,N,R3,D2,,12300.0,ft,,,,,,,1
478,2021/03/29,Front Range,>TL,E,HS,N,R3,D2,,,,,,,,,,1
489,2021/03/28,Front Range,>TL,NE,HS,AM,R3,D2.5,,,,,,,,,,1
494,2021/03/28,Front Range,>TL,E,HS,N,R3,D2.5,,,,,,,,,,1
495,2021/03/28,Front Range,>TL,E,HS,N,R3,D3,,,,,,,,,,1
504,2021/03/28,Front Range,>TL,E,,,R3,D2.5,,,,,,,,,,1
532,2021/03/27,Southern San Juan,TL,E,SS,N,R3,D2,,11700.0,ft,,,,,,,1
558,2021/03/26,Aspen,>TL,NE,HS,N,R3,D2,,12300.0,ft,,,,,300.0,ft,1
574,2021/03/26,Southern San Juan,TL,E,SS,N,R3,D2,,,,I,Interface,Crust,,400.0,ft,1
585,2021/03/25,Northern San Juan,>TL,NE,HS,N,R3,D2.5,,,,G,,,,,,1
590,2021/03/24,Aspen,TL,N,SS,AM,R3,D2.5,,11900.0,ft,O,,Depth Hoar,500.0,,ft,1
621,2021/03/21,Front Range,<TL,E,WS,N,R3,D1.5,,,,,,,,,,1
678,2021/03/17,Gunnison,TL,SW,SS,AS,R3,D1.5,,,,I,,,,,,1
699,2021/03/15,Front Range,>TL,SE,SS,N,R3,D2.5,,,,I,,,,,,1
843,2021/03/03,Aspen,>TL,N,SS,N,R3,D2,,,,,,,,,,1
847,2021/03/03,Vail & Summit County,>TL,SE,HS,AE,R3,D2,,,,,,,,,,1
865,2021/02/28,Vail & Summit County,>TL,NE,HS,N,R3,D2,,,,,,,,,,1
892,2021/02/24,Southern San Juan,TL,E,HS,AM,R3,D2,,11700.0,ft,O,Layer,Faceted Crystals,,300.0,ft,1
894,2021/02/24,Gunnison,TL,SW,HS,AB,R3,D2.5,,,,O,Layer,Faceted Crystals,,,,1
914,2021/02/22,Aspen,>TL,SE,SS,N,R4,D2.5,,13000.0,ft,,,,,,,1
915,2021/02/22,Front Range,TL,E,HS,N,R3,D2,,,,,,,,,,1
920,2021/02/22,Front Range,>TL,SE,HS,N,R3,D2.5,,,,O,,,,1000.0,ft,1
929,2021/02/22,Gunnison,>TL,E,SS,N,R3,D2.5,,,,O,,,,,,1
930,2021/02/22,Gunnison,>TL,S,HS,N,R3,D3,,,,O,,,,,,1
938,2021/02/21,Gunnison,TL,SW,HS,N,R4,D2.5,,,,O,,,,,,1
939,2021/02/21,Gunnison,>TL,E,HS,N,R3,D2,,,,O,,,,,,1
974,2021/02/19,Vail & Summit County,TL,E,HS,U,R3,D2,,,,,,,,,,1
