Date,BC_Zone,av_bol,Station
2021/04/06,Aspen,1,Independence Pass
2021/04/05,Aspen,1,Independence Pass
2021/04/03,Aspen,1,Independence Pass
2021/03/26,Aspen,1,Independence Pass
2021/03/24,Aspen,1,Independence Pass
2021/03/03,Aspen,1,Independence Pass
2021/02/22,Aspen,1,Independence Pass
2021/02/18,Aspen,1,Independence Pass
2021/02/13,Aspen,1,Independence Pass
2021/02/09,Aspen,1,Independence Pass
2021/02/08,Aspen,1,Independence Pass
2021/02/07,Aspen,1,Independence Pass
2021/02/06,Aspen,1,Independence Pass
2021/02/05,Aspen,1,Independence Pass
2021/02/04,Aspen,1,Independence Pass
2021/01/27,Aspen,1,Independence Pass
2021/01/06,Aspen,1,Independence Pass
2020/02/20,Aspen,1,Independence Pass
2020/02/08,Aspen,1,Independence Pass
2020/02/07,Aspen,1,Independence Pass
2020/02/04,Aspen,1,Independence Pass
2020/01/27,Aspen,1,Independence Pass
2020/01/25,Aspen,1,Independence Pass
2020/01/09,Aspen,1,Independence Pass
2019/12/16,Aspen,1,Independence Pass
2019/12/15,Aspen,1,Independence Pass
2019/12/14,Aspen,1,Independence Pass
2019/12/10,Aspen,1,Independence Pass
2019/12/07,Aspen,1,Independence Pass
2019/11/22,Aspen,1,Independence Pass
2019/11/18,Aspen,1,Independence Pass
2019/04/05,Aspen,1,Independence Pass
2019/03/15,Aspen,1,Independence Pass
2019/03/13,Aspen,1,Independence Pass
2019/03/12,Aspen,1,Independence Pass
2019/03/11,Aspen,1,Independence Pass
2019/03/10,Aspen,1,Independence Pass
2019/03/09,Aspen,1,Independence Pass
2019/03/08,Aspen,1,Independence Pass
2019/03/07,Aspen,1,Independence Pass
2019/03/06,Aspen,1,Independence Pass
2019/03/05,Aspen,1,Independence Pass
2019/03/04,Aspen,1,Independence Pass
2019/03/03,Aspen,1,Independence Pass
2019/02/23,Aspen,1,Independence Pass
2019/02/17,Aspen,1,Independence Pass
2019/02/16,Aspen,1,Independence Pass
2019/02/10,Aspen,1,Independence Pass
2019/02/09,Aspen,1,Independence Pass
2019/02/08,Aspen,1,Independence Pass
2019/02/02,Aspen,1,Independence Pass
2019/01/27,Aspen,1,Independence Pass
2019/01/21,Aspen,1,Independence Pass
2019/01/19,Aspen,1,Independence Pass
2019/01/18,Aspen,1,Independence Pass
2019/01/17,Aspen,1,Independence Pass
2019/01/09,Aspen,1,Independence Pass
2019/01/07,Aspen,1,Independence Pass
