Date,Station_Id,Station_Name,Air_Temp_Avg_degF,Air_Temp_Max_degF,Air_Temp_Min_degF,Precip_Accum_in_,Precip_Increment_in,Precip_Increment_Snow_in,Precip_MTD_in,Snow_Depth_in,Snow_Density_pct,Snow_Rain_Ratio
11/12/10,538,Idarado,15,32,3,3.7,0,0,0.5,4,25,
11/13/10,538,Idarado,17,34,8,3.7,0,0,0.5,4,25,
11/14/10,538,Idarado,20,33,7,3.7,0.1,0.1,0.5,4,25,100
11/15/10,538,Idarado,24,27,18,3.8,0.4,0.4,0.6,3,36.7,100
11/16/10,538,Idarado,26,41,11,4.2,0.2,0.2,1,9,16.7,100
11/17/10,538,Idarado,21,36,9,4.4,0,0,1.2,8,21.2,
11/18/10,538,Idarado,32,49,18,4.4,0,0,1.2,7,24.3,
11/19/10,538,Idarado,33,48,21,4.4,0.1,0.1,1.2,7,24.3,100
11/20/10,538,Idarado,36,45,28,4.5,0,0,1.3,6,30,
11/21/10,538,Idarado,27,32,18,4.5,0.5,0.6,1.3,6,30,120
11/22/10,538,Idarado,15,22,4,5,0,0,1.8,13,18.5,
11/23/10,538,Idarado,22,33,7,5,0.1,0.1,1.8,12,20,100
11/24/10,538,Idarado,13,24,-9,5.1,0.1,0.1,1.9,10,25,100
11/25/10,538,Idarado,0,22,-14,5.2,0,0.2,2,13,20,
11/26/10,538,Idarado,19,36,2,5.2,0,0.2,2,12,23.3,
11/27/10,538,Idarado,26,42,14,5.2,0,0,2,11,27.3,
11/28/10,538,Idarado,20,25,15,5.2,0.3,0.3,2,11,27.3,33
11/29/10,538,Idarado,13,18,6,5.5,0,0.2,2.3,13,23.8,
11/30/10,538,Idarado,11,26,-6,5.5,0.2,0.2,2.3,14,23.6,0
12/1/10,538,Idarado,27,43,14,5.7,0,0,2.5,13,25.4,
12/2/10,538,Idarado,29,45,19,5.7,0,0,0,13,25.4,
12/3/10,538,Idarado,38,47,28,5.7,0,0,0,12,27.5,
12/4/10,538,Idarado,36,48,29,5.7,0,0,0,12,26.7,
12/5/10,538,Idarado,34,45,25,5.7,0,0,0,12,25.8,
12/6/10,538,Idarado,32,43,25,5.7,0.1,0.1,0,11,26.4,0
12/7/10,538,Idarado,24,35,12,5.8,0.1,0.1,0.1,12,23.3,0
12/8/10,538,Idarado,27,44,13,5.9,0.1,0.1,0.2,14,20,0
12/9/10,538,Idarado,34,45,28,6,0.1,0.1,0.3,13,21.5,0
12/10/10,538,Idarado,32,38,26,6.1,0.1,0.1,0.4,14,20,0
12/11/10,538,Idarado,24,32,13,6.2,0.1,0.1,0.5,14,20,0
12/12/10,538,Idarado,27,42,12,6.3,0,0,0.6,17,15.9,
12/13/10,538,Idarado,31,48,20,6.3,0.1,0.1,0.6,15,17.3,0
12/14/10,538,Idarado,38,49,25,6.4,0.1,0.1,0.7,15,16.7,0
12/15/10,538,Idarado,32,39,25,6.5,0.1,0.1,0.8,14,17.9,100
12/16/10,538,Idarado,26,31,19,6.6,0.1,0.1,0.9,15,17.3,100
12/17/10,538,Idarado,22,33,16,6.7,0.1,0.1,1,19,14.2,0
12/18/10,538,Idarado,29,33,23,6.8,0.3,0.3,1.1,17,15.9,100
12/19/10,538,Idarado,33,40,29,7.1,0.3,0.3,1.4,19,15.8,67
12/20/10,538,Idarado,34,38,31,7.4,0.3,0.3,1.7,21,15.2,100
12/21/10,538,Idarado,31,33,29,7.7,0.3,0.3,2,22,15.9,100
12/22/10,538,Idarado,34,39,29,8,0.4,0.4,2.3,25,15.2,100
12/23/10,538,Idarado,32,38,29,8.4,0.8,0.8,2.7,27,15.6,100
12/24/10,538,Idarado,23,36,16,9.2,0,0.1,3.5,33,15.2,
12/25/10,538,Idarado,24,36,15,9.2,0,0.1,3.5,31,16.5,
12/26/10,538,Idarado,27,37,20,9.2,0,0.2,3.5,29,17.9,
12/27/10,538,Idarado,20,32,12,9.2,0,0,3.5,29,18.6,
12/28/10,538,Idarado,16,31,5,9.2,0,0.1,3.5,28,19.3,
12/29/10,538,Idarado,23,26,18,9.2,0.7,0.8,3.5,27,20.4,114
12/30/10,538,Idarado,15,25,2,9.9,0.7,0.7,4.2,34,18.5,71
12/31/10,538,Idarado,-2,5,-12,10.6,0,0,4.9,37,18.4,
1/1/11,538,Idarado,-6,12,-20,10.6,0,0,4.9,36,18.9,
1/2/11,538,Idarado,10,28,-8,10.6,0.1,0.1,0,35,19.4,100
1/3/11,538,Idarado,21,34,9,10.7,0.2,0.2,0.1,33,20.9,100
1/4/11,538,Idarado,10,24,-1,10.9,0,0,0.3,33,21.5,
1/5/11,538,Idarado,12,33,-1,10.9,0,0,0.3,33,21.5,
1/6/11,538,Idarado,19,37,8,10.9,0,0,0.3,32,22.2,
1/7/11,538,Idarado,22,39,14,10.9,0,0,0.3,32,22.2,
1/8/11,538,Idarado,23,38,13,10.9,0.1,0.1,0.3,31,22.9,100
