Date,Station_Id,Station_Name,Air_Temp_Avg_degF,Air_Temp_Max_degF,Air_Temp_Min_degF,Precip_Accum_in_,Precip_Increment_in,Precip_Increment_Snow_in,Precip_MTD_in,Snow_Depth_in,Snow_Density_pct,Snow_Rain_Ratio,percip_prior_2days,percip_prior_4days,percip_prior_7days,percip_prior_14days,temp_min_prior_2days,temp_min_prior_4days,temp_min_prior_7days,temp_min_prior_14days,temp_max_prior_2days,temp_max_prior_4days,temp_max_prior_7days,temp_max_prior_14days,snow_density_avg_prior_2days,snow_density_avg_prior_4days,snow_density_avg_prior_7days,snow_density_avg_prior_14days
2010-11-12,538,Idarado,15.0,32.0,3.0,3.7,0.0,0.0,0.5,4,25.0,,3.7,3.7,3.7,3.7,3.0,3.0,3.0,3.0,32.0,32.0,32.0,32.0,25.0,25.0,25.0,25.0
2010-11-13,538,Idarado,17.0,34.0,8.0,3.7,0.0,0.0,0.5,4,25.0,,7.4,7.4,7.4,7.4,3.0,3.0,3.0,3.0,34.0,34.0,34.0,34.0,25.0,25.0,25.0,25.0
2010-11-14,538,Idarado,20.0,33.0,7.0,3.7,0.1,0.1,0.5,4,25.0,100.0,7.4,11.100000000000001,11.100000000000001,11.100000000000001,7.0,3.0,3.0,3.0,34.0,34.0,34.0,34.0,25.0,25.0,25.0,25.0
2010-11-15,538,Idarado,24.0,27.0,18.0,3.8,0.4,0.4,0.6,3,36.7,100.0,7.5,14.900000000000002,14.900000000000002,14.900000000000002,7.0,3.0,3.0,3.0,33.0,34.0,34.0,34.0,30.85,27.925,27.925,27.925
2010-11-16,538,Idarado,26.0,41.0,11.0,4.2,0.2,0.2,1.0,9,16.7,100.0,8.0,15.400000000000002,19.1,19.1,11.0,7.0,3.0,3.0,41.0,41.0,41.0,41.0,26.700000000000003,25.85,25.68,25.68
2010-11-17,538,Idarado,21.0,36.0,9.0,4.4,0.0,0.0,1.2,8,21.2,,8.600000000000001,16.1,23.5,23.5,9.0,7.0,3.0,3.0,41.0,41.0,41.0,41.0,18.950000000000003,24.900000000000002,24.933333333333334,24.933333333333334
2010-11-18,538,Idarado,32.0,49.0,18.0,4.4,0.0,0.0,1.2,7,24.3,,8.8,16.800000000000004,27.9,27.9,9.0,9.0,3.0,3.0,49.0,49.0,49.0,49.0,22.750000000000004,24.725,24.842857142857145,24.842857142857145
2010-11-19,538,Idarado,33.0,48.0,21.0,4.4,0.1,0.1,1.2,7,24.3,100.0,8.8,17.400000000000006,28.6,32.3,18.0,9.0,7.0,3.0,49.0,49.0,49.0,49.0,24.300000000000004,21.625,24.742857142857144,24.775000000000002
2010-11-20,538,Idarado,36.0,45.0,28.0,4.5,0.0,0.0,1.3,6,30.0,,8.9,17.700000000000006,29.400000000000002,36.8,21.0,9.0,7.0,3.0,48.0,49.0,49.0,49.0,27.150000000000006,24.95,25.45714285714286,25.355555555555558
2010-11-21,538,Idarado,27.0,32.0,18.0,4.5,0.5,0.6,1.3,6,30.0,120.0,9.0,17.800000000000004,30.200000000000003,41.3,18.0,18.0,9.0,3.0,45.0,49.0,49.0,49.0,30.000000000000007,27.15,26.171428571428574,25.820000000000004
2010-11-22,538,Idarado,15.0,22.0,4.0,5.0,0.0,0.0,1.8,13,18.5,,9.5,18.400000000000006,31.400000000000002,46.3,4.0,4.0,4.0,3.0,32.0,48.0,49.0,49.0,24.250000000000007,25.7,23.571428571428573,25.15454545454546
2010-11-23,538,Idarado,22.0,33.0,7.0,5.0,0.1,0.1,1.8,12,20.0,100.0,10.0,19.000000000000007,32.2,51.3,4.0,4.0,4.0,3.0,33.0,45.0,49.0,49.0,19.250000000000007,24.625,24.042857142857144,24.725000000000005
2010-11-24,538,Idarado,13.0,24.0,-9.0,5.1,0.1,0.1,1.9,10,25.0,100.0,10.1,19.60000000000001,32.900000000000006,56.4,-9.0,-9.0,-9.0,-9.0,33.0,33.0,49.0,49.0,22.500000000000007,23.375,24.58571428571429,24.74615384615385
2010-11-25,538,Idarado,0.0,22.0,-14.0,5.2,0.0,0.2,2.0,13,20.0,,10.3,20.300000000000008,33.70000000000001,61.6,-14.0,-14.0,-14.0,-14.0,24.0,33.0,48.0,49.0,22.500000000000007,20.875,23.97142857142857,24.407142857142862
2010-11-26,538,Idarado,19.0,36.0,2.0,5.2,0.0,0.2,2.0,12,23.3,,10.400000000000002,20.500000000000007,34.500000000000014,63.1,-14.0,-14.0,-14.0,-14.0,36.0,36.0,45.0,49.0,21.650000000000006,22.075,23.82857142857143,24.28571428571429
2010-11-27,538,Idarado,26.0,42.0,14.0,5.2,0.0,0.0,2.0,11,27.3,,10.400000000000002,20.700000000000006,35.20000000000002,64.6,2.0,-14.0,-14.0,-14.0,42.0,42.0,42.0,49.0,25.300000000000004,23.9,23.442857142857147,24.450000000000006
2010-11-28,538,Idarado,20.0,25.0,15.0,5.2,0.3,0.3,2.0,11,27.3,33.0,10.400000000000002,20.800000000000008,35.90000000000002,66.1,14.0,-14.0,-14.0,-14.0,42.0,42.0,42.0,49.0,27.300000000000004,24.474999999999998,23.05714285714286,24.61428571428572
2010-11-29,538,Idarado,13.0,18.0,6.0,5.5,0.0,0.2,2.3,13,23.8,,10.700000000000003,21.10000000000001,36.40000000000002,67.8,6.0,2.0,-14.0,-14.0,25.0,42.0,42.0,49.0,25.550000000000004,25.424999999999997,23.81428571428572,23.69285714285715
2010-11-30,538,Idarado,11.0,26.0,-6.0,5.5,0.2,0.2,2.3,14,23.6,0.0,11.000000000000004,21.40000000000001,36.90000000000002,69.1,-6.0,-6.0,-14.0,-14.0,26.0,42.0,42.0,49.0,23.700000000000003,25.5,24.328571428571433,24.185714285714294
2010-12-01,538,Idarado,27.0,43.0,14.0,5.7,0.0,0.0,2.5,13,25.4,,11.200000000000003,21.90000000000001,37.50000000000002,70.39999999999999,-6.0,-6.0,-14.0,-14.0,43.0,43.0,43.0,49.0,24.5,25.025,24.385714285714293,24.485714285714295
2010-12-02,538,Idarado,29.0,45.0,19.0,5.7,0.0,0.0,0.0,13,25.4,,11.400000000000002,22.40000000000001,38.00000000000002,71.69999999999999,14.0,-6.0,-6.0,-14.0,45.0,45.0,45.0,48.0,25.4,24.549999999999997,25.157142857142865,24.56428571428572
2010-12-03,538,Idarado,38.0,47.0,28.0,5.7,0.0,0.0,0.0,12,27.5,,11.400000000000002,22.60000000000001,38.50000000000002,72.99999999999999,19.0,-6.0,-6.0,-14.0,47.0,47.0,47.0,47.0,26.45,25.474999999999998,25.757142857142863,24.792857142857148
2010-12-04,538,Idarado,36.0,48.0,29.0,5.7,0.0,0.0,0.0,12,26.7,,11.400000000000002,22.800000000000008,39.00000000000002,74.19999999999999,28.0,14.0,-6.0,-14.0,48.0,48.0,48.0,48.0,27.1,26.249999999999996,25.671428571428574,24.55714285714286
2010-12-05,538,Idarado,34.0,45.0,25.0,5.7,0.0,0.0,0.0,12,25.8,,11.400000000000002,22.800000000000008,39.50000000000002,75.39999999999999,25.0,19.0,-6.0,-14.0,48.0,48.0,48.0,48.0,26.25,26.349999999999998,25.45714285714286,24.257142857142863
2010-12-06,538,Idarado,32.0,43.0,25.0,5.7,0.1,0.1,0.0,11,26.4,0.0,11.400000000000002,22.800000000000008,39.700000000000024,76.1,25.0,25.0,-6.0,-14.0,45.0,48.0,48.0,48.0,26.1,26.6,25.82857142857143,24.821428571428577
2010-12-07,538,Idarado,24.0,35.0,12.0,5.8,0.1,0.1,0.1,12,23.3,0.0,11.500000000000002,22.90000000000001,40.00000000000002,76.89999999999999,12.0,12.0,12.0,-14.0,43.0,48.0,48.0,48.0,24.85,25.55,25.78571428571429,25.05714285714286
2010-12-08,538,Idarado,27.0,44.0,13.0,5.9,0.1,0.1,0.2,14,20.0,0.0,11.700000000000003,23.10000000000001,40.20000000000002,77.7,12.0,12.0,12.0,-14.0,44.0,45.0,48.0,48.0,21.650000000000002,23.875,25.014285714285716,24.700000000000006
2010-12-09,538,Idarado,34.0,45.0,28.0,6.0,0.1,0.1,0.3,13,21.5,0.0,11.900000000000002,23.40000000000001,40.500000000000014,78.5,13.0,12.0,12.0,-6.0,45.0,45.0,48.0,48.0,20.75,22.8,24.45714285714286,24.80714285714286
2010-12-10,538,Idarado,32.0,38.0,26.0,6.1,0.1,0.1,0.4,14,20.0,0.0,12.100000000000001,23.80000000000001,40.90000000000001,79.39999999999999,26.0,12.0,12.0,-6.0,45.0,45.0,48.0,48.0,20.75,21.200000000000003,23.38571428571429,24.571428571428577
2010-12-11,538,Idarado,24.0,32.0,13.0,6.2,0.1,0.1,0.5,14,20.0,0.0,12.3,24.20000000000001,41.40000000000001,80.39999999999999,13.0,13.0,12.0,-6.0,38.0,45.0,45.0,48.0,20.0,20.375000000000004,22.428571428571434,24.050000000000004
2010-12-12,538,Idarado,27.0,42.0,12.0,6.3,0.0,0.0,0.6,17,15.9,,12.5,24.600000000000012,42.00000000000001,81.49999999999999,12.0,12.0,12.0,-6.0,42.0,45.0,45.0,48.0,17.95,19.350000000000005,21.014285714285716,23.235714285714288
2010-12-13,538,Idarado,31.0,48.0,20.0,6.3,0.1,0.1,0.6,15,17.3,0.0,12.6,24.900000000000013,42.6,82.29999999999998,12.0,12.0,12.0,-6.0,48.0,48.0,48.0,48.0,16.6,18.300000000000004,19.71428571428572,22.771428571428572
2010-12-14,538,Idarado,38.0,49.0,25.0,6.4,0.1,0.1,0.7,15,16.7,0.0,12.7,25.20000000000001,43.2,83.19999999999999,20.0,12.0,12.0,12.0,49.0,49.0,49.0,49.0,17.0,17.475000000000005,18.771428571428576,22.27857142857143
2010-12-15,538,Idarado,32.0,39.0,25.0,6.5,0.1,0.1,0.8,14,17.9,100.0,12.899999999999999,25.50000000000001,43.800000000000004,83.99999999999999,25.0,12.0,12.0,12.0,49.0,49.0,49.0,49.0,17.299999999999997,16.950000000000003,18.47142857142858,21.74285714285714
2010-12-16,538,Idarado,26.0,31.0,19.0,6.6,0.1,0.1,0.9,15,17.3,100.0,13.099999999999998,25.80000000000001,44.400000000000006,84.89999999999998,19.0,19.0,12.0,12.0,39.0,49.0,49.0,49.0,17.599999999999998,17.300000000000004,17.871428571428577,21.164285714285715
2010-12-17,538,Idarado,22.0,33.0,16.0,6.7,0.1,0.1,1.0,19,14.2,0.0,13.299999999999997,26.20000000000001,45.00000000000001,85.89999999999998,16.0,16.0,12.0,12.0,33.0,49.0,49.0,49.0,15.749999999999998,16.525000000000006,17.042857142857148,20.214285714285715
2010-12-18,538,Idarado,29.0,33.0,23.0,6.8,0.3,0.3,1.1,17,15.9,100.0,13.499999999999996,26.600000000000012,45.6,86.99999999999997,16.0,16.0,12.0,12.0,33.0,39.0,49.0,49.0,15.049999999999997,16.325000000000006,16.457142857142863,19.442857142857143
2010-12-19,538,Idarado,33.0,40.0,29.0,7.1,0.3,0.3,1.4,19,15.8,67.0,13.899999999999995,27.20000000000001,46.400000000000006,88.39999999999996,23.0,16.0,16.0,12.0,40.0,40.0,49.0,49.0,15.849999999999998,15.800000000000008,16.442857142857147,18.728571428571428
2010-12-20,538,Idarado,34.0,38.0,31.0,7.4,0.3,0.3,1.7,21,15.2,100.0,14.499999999999996,28.000000000000007,47.50000000000001,90.09999999999997,29.0,16.0,16.0,12.0,40.0,40.0,49.0,49.0,15.499999999999996,15.27500000000001,16.14285714285715,17.928571428571427
2010-12-21,538,Idarado,31.0,33.0,29.0,7.7,0.3,0.3,2.0,22,15.9,100.0,15.099999999999998,29.000000000000007,48.80000000000001,91.99999999999997,29.0,23.0,16.0,12.0,38.0,40.0,40.0,49.0,15.549999999999997,15.700000000000008,16.028571428571436,17.4
2010-12-22,538,Idarado,34.0,39.0,29.0,8.0,0.4,0.4,2.3,25,15.2,100.0,15.699999999999998,30.200000000000006,50.30000000000001,94.09999999999997,29.0,29.0,16.0,12.0,39.0,40.0,40.0,49.0,15.549999999999997,15.52500000000001,15.64285714285715,17.057142857142853
2010-12-23,538,Idarado,32.0,38.0,29.0,8.4,0.8,0.8,2.7,27,15.6,100.0,16.4,31.500000000000007,52.10000000000001,96.49999999999997,29.0,29.0,16.0,12.0,39.0,39.0,40.0,49.0,15.399999999999997,15.47500000000001,15.400000000000006,16.635714285714283
2010-12-24,538,Idarado,23.0,36.0,16.0,9.2,0.0,0.1,3.5,33,15.2,,17.599999999999998,33.30000000000001,54.60000000000001,99.59999999999998,16.0,16.0,16.0,12.0,38.0,39.0,40.0,49.0,15.399999999999997,15.475000000000012,15.542857142857148,16.292857142857137
2010-12-25,538,Idarado,24.0,36.0,15.0,9.2,0.0,0.1,3.5,31,16.5,,18.4,34.80000000000001,57.000000000000014,102.59999999999998,15.0,15.0,15.0,12.0,36.0,39.0,40.0,49.0,15.849999999999998,15.625000000000012,15.628571428571433,16.042857142857137
2010-12-26,538,Idarado,27.0,37.0,20.0,9.2,0.0,0.2,3.5,29,17.9,,18.4,36.000000000000014,59.10000000000001,105.49999999999999,15.0,15.0,15.0,15.0,37.0,38.0,39.0,49.0,17.199999999999996,16.30000000000001,15.928571428571432,16.18571428571428
2010-12-27,538,Idarado,20.0,32.0,12.0,9.2,0.0,0.0,3.5,29,18.6,,18.4,36.80000000000001,60.900000000000006,108.39999999999999,12.0,12.0,12.0,12.0,37.0,37.0,39.0,49.0,18.249999999999996,17.05000000000001,16.414285714285718,16.27857142857142
2010-12-28,538,Idarado,16.0,31.0,5.0,9.2,0.0,0.1,3.5,28,19.3,,18.4,36.80000000000001,62.400000000000006,111.19999999999999,5.0,5.0,5.0,5.0,32.0,37.0,39.0,40.0,18.949999999999996,18.07500000000001,16.900000000000002,16.46428571428571
2010-12-29,538,Idarado,23.0,26.0,18.0,9.2,0.7,0.8,3.5,27,20.4,114.0,18.4,36.80000000000001,63.60000000000001,113.89999999999999,5.0,5.0,5.0,5.0,31.0,37.0,38.0,40.0,19.849999999999994,19.05000000000001,17.642857142857146,16.64285714285714
2010-12-30,538,Idarado,15.0,25.0,2.0,9.9,0.7,0.7,4.2,34,18.5,71.0,19.1,37.500000000000014,65.10000000000001,117.2,2.0,2.0,2.0,2.0,26.0,32.0,37.0,40.0,19.449999999999996,19.20000000000001,18.05714285714286,16.728571428571424
2010-12-31,538,Idarado,-2.0,5.0,-12.0,10.6,0.0,0.0,4.9,37,18.4,,20.5,38.90000000000001,66.5,121.1,-12.0,-12.0,-12.0,-12.0,25.0,31.0,37.0,40.0,18.449999999999996,19.15000000000001,18.514285714285716,17.028571428571425
