Date,Station Id,Station Name,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Accumulation (in) Start of Day Values,Precipitation Increment (in),Precipitation Increment - Snow-adj (in),Precipitation Month-to-date (in) Start of Day Values,Snow Depth (in) Start of Day Values,Snow Density (pct) Start of Day Values,Snow Rain Ratio (unitless),Wind Direction Average (degree),Wind Speed Average (mph),Wind Speed Maximum (mph)
2010-10-01,538,Idarado,52,70,38,0.0,0.00,0.00,0.90,0,,,,,
2010-10-02,538,Idarado,48,67,36,0.0,0.00,0.00,0.00,0,,,,,
2010-10-03,538,Idarado,48,66,37,0.0,0.00,0.00,0.00,0,,,,,
2010-10-04,538,Idarado,44,56,38,0.0,0.00,0.00,0.00,0,,,,,
2010-10-05,538,Idarado,47,60,41,0.0,0.20,0.20,0.00,0,,0.0,,,
2010-10-06,538,Idarado,45,57,40,0.2,0.50,0.50,0.20,0,,0.0,,,
2010-10-07,538,Idarado,45,53,38,0.7,0.40,0.40,0.70,0,,0.0,,,
2010-10-08,538,Idarado,38,51,29,1.1,0.00,0.00,1.10,0,,,,,
2010-10-09,538,Idarado,37,49,27,1.1,0.00,0.00,1.10,0,,,,,
2010-10-10,538,Idarado,39,53,31,1.1,0.00,0.00,1.10,0,,,,,
2010-10-11,538,Idarado,38,54,29,1.1,0.00,0.00,1.10,0,,,,,
2010-10-12,538,Idarado,39,56,30,1.1,0.00,0.00,1.10,0,,,,,
2010-10-13,538,Idarado,40,58,30,1.1,0.00,0.00,1.10,0,,,,,
2010-10-14,538,Idarado,41,60,31,1.1,0.00,0.00,1.10,0,,,,,
2010-10-15,538,Idarado,42,60,31,1.1,0.00,0.00,1.10,0,,,,,
2010-10-16,538,Idarado,41,58,31,1.1,0.00,0.00,1.10,0,,,,,
2010-10-17,538,Idarado,41,56,32,1.1,0.10,0.10,1.10,0,,0.0,,,
2010-10-18,538,Idarado,38,52,33,1.2,0.30,0.30,1.20,0,,0.0,,,
2010-10-19,538,Idarado,37,53,30,1.5,0.00,0.00,1.50,0,,,,,
2010-10-20,538,Idarado,42,59,31,1.5,0.10,0.10,1.50,0,,0.0,,,
2010-10-21,538,Idarado,37,47,32,1.6,0.00,0.00,1.60,0,,,,,
2010-10-22,538,Idarado,36,46,29,1.6,0.20,0.20,1.60,0,,0.0,,,
2010-10-23,538,Idarado,35,40,33,1.8,0.40,0.40,1.80,0,,0.0,,,
2010-10-24,538,Idarado,38,46,31,2.2,0.10,0.10,2.20,0,,0.0,,,
2010-10-25,538,Idarado,29,47,14,2.3,0.80,0.80,2.30,0,,62.0,,,
2010-10-26,538,Idarado,23,32,16,3.1,0.00,0.00,3.10,4,,,,,
2010-10-27,538,Idarado,22,34,13,3.1,0.00,0.00,3.10,4,,,,,
2010-10-28,538,Idarado,33,52,14,3.1,0.10,0.10,3.10,3,,100.0,,,
2010-10-29,538,Idarado,38,54,28,3.2,0.00,0.00,3.20,2,,,,,
